year,age
1900,30.9
1901,30.9
1902,12.7
1903,20
1904,30.9
1905,30.9
1906,30.9
1907,30.9
1908,30.9
1909,30.9
1910,30.9
1911,30.9
1912,30.9
1913,30.9
1914,30.9
1915,30.9
1916,30.9
1917,30.9
1918,25.6
1919,30.9
1920,30.9
1921,30.9
1922,30.9
1923,30.9
1924,30.9
1925,30.9
1926,31.6
1927,32.3
1928,33
1929,33.7
1930,34.4
1931,35.1
1932,35.8
1933,36.5
1934,37.1
1935,37.9
1936,38.5
1937,39.3
1938,40
1939,41.2
1940,42.4
1941,41
1942,34.9
1943,37.2
1944,32.6
1945,30.1
1946,41.2
1947,44.7
1948,48.2
1949,51.6
1950,55.1
1951,54.2
1952,55.9
1953,57.1
1954,57.7
1955,58.1
1956,58.4
1957,59.7
1958,61
1959,62.1
1960,61.3
1961,61.5
1962,61.8
1963,62.4
1964,62.5
1965,62.5
1966,62.8
1967,62.8
1968,62.9
1969,63.1
1970,62.7
1971,63.1
1972,62.7
1973,63.3
1974,63.4
1975,64.1
1976,63.7
1977,64.2
1978,64.9
1979,65.4
1980,65.7
1981,66
1982,66.1
1983,66.3
1984,66.5
1985,66.5
1986,66.9
1987,67
1988,67.4
1989,67.9
1990,68.4
1991,68.9
1992,69.3
1993,69.4
1994,69.6
1995,69.8
1996,69.9
1997,70.1
1998,70.2
1999,70.5
2000,70.3
2001,70.2
2002,70.2
2003,70.3
2004,70.4
2005,70.3
2006,70.2
2007,70.5
2008,70.4
2009,70.4
2010,70.6
2011,70.7
2012,70.7
2013,70.6
2014,71
2015,70.9
2016,71
2017,71.2
2018,71.6
2019,71.8
2020,72.1
2021,69.2
2022,72.2
2023,72.3
2024,72.4
2025,72.5
2026,72.6
2027,72.7
2028,72.8
2029,72.9
2030,73
2031,73.1
2032,73.2
2033,73.4
2034,73.5
2035,73.6
2036,73.7
2037,73.8
2038,73.9
2039,74
2040,74.2
2041,74.3
2042,74.4
2043,74.5
2044,74.7
2045,74.8
2046,74.9
2047,75
2048,75.2
2049,75.3
2050,75.4
2051,75.5
2052,75.7
2053,75.8
2054,76
2055,76.1
2056,76.2
2057,76.3
2058,76.5
2059,76.6
2060,76.8
2061,76.9
2062,77
2063,77.2
2064,77.3
2065,77.5
2066,77.6
2067,77.7
2068,77.9
2069,78
2070,78.2
2071,78.3
2072,78.5
2073,78.6
2074,78.7
2075,78.9
2076,79
2077,79.2
2078,79.3
2079,79.5
2080,79.6
2081,79.8
2082,79.9
2083,80.1
2084,80.2
2085,80.4
2086,80.5
2087,80.7
2088,80.9
2089,81
2090,81.2
2091,81.3
2092,81.5
2093,81.6
2094,81.8
2095,81.9
2096,82.1
2097,82.2
2098,82.4
2099,82.5
2100,82.7
